run,step,n_gen,fid,jsd
20250724-032823,999,4,27.17854027372919,0.6846055756259546
20250724-032823,1999,4,16.349653013147382,0.6859330178434935
20250724-032823,2999,4,2.0715274084207937,0.6763497453146252
20250724-032823,3999,4,14.084490427674323,0.692541420546219
20250724-032823,4999,4,13.357385422223711,0.6902356509396583
20250724-032823,5999,4,9.432327889745785,0.6925424313661681
20250724-032823,6999,4,12.115751599485852,0.6902356509396583
20250724-032823,7999,4,1.7462895303630515,0.692541420546219
20250724-032823,8999,4,3.611240285763096,0.6909829454223779
20250724-032823,9999,4,9.713022349674336,0.6925424313661681
20250724-032823,10999,4,9.905539367787465,0.6901556478693663
20250724-032823,11999,4,2.175301676473444,0.6905429305814768
20250724-032823,12999,4,8.569070293282259,0.692541420546219
20250724-032823,13999,4,8.247910799418039,0.6912526570111552
20250724-032823,14999,4,9.331138236344328,0.6925434473944916
20250724-032823,15999,4,5.784075837721775,0.6912526570111552
20250724-032823,16999,4,7.52735651769664,0.6882551777741599
20250724-032823,17999,4,4.435887773272744,0.6906962629480209
20250724-032823,18999,4,2.2856280603453536,0.6859985251989318
20250724-032823,19999,4,1.9408445878403406,0.6858438122254622
20250724-032823,20999,4,2.4620171975832066,0.6894234722002959
20250724-032823,21999,4,1.8647888901383107,0.6874204387796123
20250724-032823,22999,4,2.0806174731325564,0.6907519501963161
20250724-032823,23999,4,2.059814805017184,0.692541420546219
20250724-032823,24999,4,1.9211981951796913,0.690692196942542
20250724-032823,25999,4,2.0701524279092847,0.6854749962107416
20250724-032823,26999,4,1.9974014161634288,0.6905439286797177
20250724-032823,27999,4,2.115390304368892,0.6863759128844446
20250724-032823,28999,4,2.4268165277808267,0.6762885440391804
20250724-032823,29999,4,2.414214495009195,0.6759194841492727
20250724-032823,30999,4,2.3938289905332333,0.6757051480241052
20250724-032823,31999,4,2.33217289695422,0.6756009653924042
20250724-032823,32999,4,2.4892046261873375,0.6757051480241052
20250724-032823,33999,4,2.2760736348343635,0.6813069804154686
20250724-032823,34999,4,2.3681163422606994,0.6801653007953972
20250724-032823,35999,4,2.5185584860074197,0.6766169755113859
20250724-032823,36999,4,2.3468530817490327,0.6852798820348098
20250724-032823,37999,4,2.5183285220600404,0.686305015638674
20250724-032823,38999,4,2.6072129742010492,0.6843784210179433
20250724-032823,39999,4,2.2244664326432018,0.6814752140151223
20250724-032823,40999,4,2.454176724665606,0.6759194841492727
20250724-032823,41999,4,2.4619975624518498,0.6739415378426599
20250724-032823,42999,4,2.376601351206164,0.6865468984020937
20250724-032823,43999,4,2.443215770756483,0.6795743207668227
20250724-032823,44999,4,2.344092014603605,0.6862793142662429
20250724-032823,45999,4,2.4013862738481317,0.6891566387910266
20250724-032823,46999,4,2.5327264580187983,0.6843784210179432
20250724-032823,47999,4,2.439450001450027,0.676673865681997
20250724-032823,48999,4,2.427126734316443,0.6721800104599104
20250724-032823,49999,4,2.3481041824881412,0.6865468984020937
20250724-032823,50999,4,2.3521031601439657,0.6857925168693693
20250724-032823,51999,4,2.154083565667585,0.6827693253404575
20250724-032823,52999,4,2.4240633100291973,0.6859297999362237
20250724-032823,53999,4,2.5874925672105,0.6778654414466493
20250724-032823,54999,4,2.3800642324987282,0.6905439286797177
20250724-032823,55999,4,2.731605756464103,0.6837950250028682
20250724-032823,56999,4,2.3346685698358067,0.6856959182511677
20250724-032823,57999,4,2.4239843084592594,0.6851837371716853
20250724-032823,58999,4,2.462383315238311,0.6759194841492727
20250724-032823,59999,4,2.7839904278865477,0.6793802046891317
20250724-032823,60999,4,2.650597707680526,0.6837950250028682
20250724-032823,61999,4,2.4182776550357294,0.6762885440391804
20250724-032823,62999,4,2.8513917036464576,0.6756009653924042
20250724-032823,63999,4,2.3648945648436803,0.6719461287748545
20250724-032823,64999,4,2.479936036236008,0.674291052172679
20250724-032823,65999,4,2.3046552805632117,0.6868890920621679
20250724-032823,66999,4,2.5885017517457554,0.6745053882978467
20250724-032823,67999,4,2.477725472744708,0.6689035966445074
20250724-032823,68999,4,2.588903893933681,0.6848906020974257
20250724-032823,69999,4,2.350150586340926,0.6806698978613803
